name,category,site,website,phone,borough,address,open,online,takeaway,delivery,appointment,note,gid,lat,lng
A & W,Restos et Cafés,Site,"Foodora, Uber Eats, ALCE",,Boul. Saint-Laurent,3780 Saint-Laurent,Ouvert ou activité réduite,,Oui,Oui,,"manger-boire,comfort-food FERMÉ MAIS EN ACTIVITÉ Foodora, Uber Eats, ALCE",,,
Alfred Dallaire Memoria,Autres commerces et services,Site,https://www.memoria.ca/19-succursale-4231-saint-laurent.html,514-277-7778,Boul. Saint-Laurent,"4231 Boul St-Laurent, Montréal, QC H2W 1Z4, Canada",Ouvert ou activité réduite,,,,,"art-culture,galeries-et-location-de-salles,gestion-services,services-funebres OUVERT ",ChIJA4OWWs0byUwRIcleoVPl2Kw,45.518386,-73.582276
Alim-pot,Alimentation,Site,https://alim-pot-boucherie-epicerie-charcuterie-fromagerie.business.site/?utm_source=gmb&utm_medium=referral,(514) 982-6838,Boul. Saint-Laurent,"20 Rue Roy E, Montréal, QC H2W 2S6, Canada",Ouvert ou activité réduite,,,Oui,,"manger-boire,boucheries-poissonneries-delicatessen OUVERT https://alim-pot-boucherie-epicerie-charcuterie-fromagerie.business.site/?utm_source=gmb&utm_medium=referral",ChIJYWe_xDQayUwRge-uczMO6OQ,45.5157285,-73.5754939
Aliments Viens ,Alimentation,Site,http://www.alimentsviens.ca/,(514) 379-4666,Boul. Saint-Laurent,"4556b Boul St-Laurent, Montréal, QC H2T 1R3, Canada",Ouvert ou activité réduite,,,Oui,,"manger-boire,boucheries-poissonneries-delicatessen OUVERT ",ChIJtWQOedMbyUwRD5rxhGFY5I8,45.520657,-73.5879266
Allen Madelin Avocats,Autres commerces et services,Site,https://amlex.ca/,(514) 904-4017,Boul. Saint-Laurent,"4621 Boul St-Laurent, Montréal, QC H2T 1R2, Canada",Ouvert ou activité réduite,,,,,"professionnels-creatifs,avocats-notaires-comptables OUVERT CONSULTATIONS PAR TÉLÉPHONE",ChIJhSJ0mkAayUwRfHV-d2LMLqU,45.521124,-73.588209
Allô Mon Coco,Restos et Cafés,Site,http://www.allomoncoco.com/,,Boul. Saint-Laurent,"3131 Boulevard de la Côte-Vertu Entrance 4, Montréal, QC H4R 1Y8, Canada",Ouvert ou activité réduite,,Oui,Oui,,"manger-boire,restos FERMÉ MAIS EN ACTIVITÉ * chercher les plateformes de livraison ",ChIJPXwyGAIYyUwRzwdkZUQ6u5s,45.4983938,-73.7078329
Ana Meilleure Cuisine,Restos et Cafés,,,,Boul. Saint-Laurent,"3839 Boul St-Laurent, Montréal, QC H2W 1X9, Canada",,,,,,"manger-boire,comfort-food,restos  ",ChIJcwQP4k4byUwRPYqxNSmjJko,45.515867,-73.576528
Art D'y Voir ,Mode et accessoires,Site,http://artdyvoir.com/,514 379 3870,Boul. Saint-Laurent,"4380 Boul St-Laurent, Montréal, QC H2W 1Z5, Canada",Ouvert ou activité réduite,,Oui,,,"beaute-bien-etre,soins-de-sante-cliniques,mode-magasinage,lunetteries FERMÉ MAIS EN ACTIVITÉ https://artdyvoir.com/",ChIJI5cR6tIbyUwRW326dXn4Bxw,45.519219,-73.584681
Artgang,Mode et accessoires,Site,http://artgangmontreal.com/,(514) 750-3253,Boul. Saint-Laurent,"3790 Boul St-Laurent, Montréal, QC H2W 1X6, Canada",Ouvert ou activité réduite,,Oui,,,"art-culture,galeries-et-location-de-salles,mode-magasinage,mode FERMÉ MAIS EN ACTIVITÉ https://artgangmontreal.com/",ChIJW8vwPGkZyUwRit4T1jZn8bQ,45.5153603,-73.5760513
Asahi,Restos et Cafés,,,(514) 288-8808,Boul. Saint-Laurent,"3671 Boul St-Laurent, Montréal, QC H2X 2V5, Canada",,,,,,"manger-boire,restos  ",ChIJqWGOEjUayUwRUph_zgZ6nnc,45.5146164,-73.5737908
Atma,Restos et Cafés,Site,http://www.restaurantatma.ca/,,Boul. Saint-Laurent,"3962 Boul St-Laurent, Montréal, QC H2W 1Y3, Canada",Ouvert ou activité réduite,,Oui,,,"manger-boire,restos FERMÉ MAIS EN ACTIVITÉ Foodora, Doordash, SkipTheDishes ",ChIJqUEvSDMayUwRI5-O4iArYL0,45.5166568,-73.579113
Aux Vivres,Restos et Cafés,Site,http://www.auxvivres.com/,(438) 387-1441,Boul. Saint-Laurent,"4631 Boul St-Laurent, Montréal, QC H2T 1R2, Canada",Ouvert ou activité réduite,,Oui,Oui,,"manger-boire,restos OUVERT  https://www.auxvivres.com/ + Foodora, Uber, Doordash, A La Carte Express, Skip the Dishes.",ChIJZfkrgNMbyUwR2GzSUqzW8SM,45.521239,-73.588301
Baked2go,Alimentation,Site,http://www.baked2go.com/,(514) 844-3232,Boul. Saint-Laurent,"4255 Boul St-Laurent, Montréal, QC H2W 1Z4, Canada",Ouvert ou activité réduite,,Oui,,,"manger-boire,patisseries-boulangeries FERMÉ MAIS EN ACTIVITÉ https://www.baked2go.com/",ChIJuexiWc0byUwRy9Wb5_QUm9s,45.518582,-73.582637
Banque Scotia,Autres commerces et services,Site,https://www.scotiabank.com/ca/en/personal.html?utm_source=gmb&utm_medium=organic&utm_campaign=00471,(514) 499-5712,Boul. Saint-Laurent,"3828 Boulevard de la Côte-Vertu, Saint-Laurent, QC H4R 1P8, Canada",,,,,,"gestion-services,services-financiers  ",ChIJLRqA2_sXyUwRimuOgEHvrXM,45.4923408,-73.7082591
Bétonel,Mode et accessoires,Site,https://www.betonel.com/diy/trouver-un-magasin/ca/qu%C3%A9bec/paint-stores-in-montreal/b%C3%A9tonel-dulux-5175,(514) 842-6011,Boul. Saint-Laurent,"4532 Boul St-Laurent, Montréal, QC H2T 1R3, Canada",Ouvert ou activité réduite,,Oui,,,"mode-magasinage,quincailleries-electronique OUVERT  Par appel, paiement à distance cas par cas (compte bétonel ou non), paiement en succursale pour les autres",ChIJtWbic9MbyUwRaOeBscfXaBU,45.5202919,-73.5873585
Bilboquet,Alimentation,,,(514) 657-4380,Boul. Saint-Laurent,"3905 Boul St-Laurent, Montréal, QC H2W 1X9, Canada",Ouvert ou activité réduite,,Oui,Oui,,"manger-boire,comfort-food, OUVERT ubereats - foodora- skip the dish",ChIJ90juVzMayUwR8JKNKP8BYwk,45.5163749,-73.577704
